AÑO,TITULO,FECHA_ELECCIONES,DISTRITO,SECCION,MESA,PARTIDO,NUM_VOTOS,PORCENTAJE
"2023","Elecciones Generales","23/07/23","1","3","A","PUM J","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","VOX","55","11,50627615062761506276150627615062761506"
"2023","Elecciones Generales","23/07/23","1","3","A","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","3","A","AEEV","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","RC","1",",2092050209205020920502092050209205020921"
"2023","Elecciones Generales","23/07/23","1","3","A","SUMAR","87","18,20083682008368200836820083682008368201"
"2023","Elecciones Generales","23/07/23","1","3","B","Electores","651","100"
"2023","Elecciones Generales","23/07/23","1","3","B","Abstenciones","143","21,96620583717357910906298003072196620584"
"2023","Elecciones Generales","23/07/23","1","3","B","Votantes","508","78,03379416282642089093701996927803379416"
"2023","Elecciones Generales","23/07/23","1","3","B","Blancos","6","1,18110236220472440944881889763779527559"
"2023","Elecciones Generales","23/07/23","1","3","B","Validos","498","98,03149606299212598425196850393700787402"
"2023","Elecciones Generales","23/07/23","1","3","B","Nulos","10","1,96850393700787401574803149606299212598"
"2023","Elecciones Generales","23/07/23","1","3","B","PSOE","136","26,77165354330708661417322834645669291339"
"2023","Elecciones Generales","23/07/23","1","3","B","FO","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PP","170","33,46456692913385826771653543307086614173"
"2023","Elecciones Generales","23/07/23","1","3","B","PACMA","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PCTE","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","PUM J","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","VOX","90","17,71653543307086614173228346456692913386"
"2023","Elecciones Generales","23/07/23","1","3","B","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","3","B","AEEV","4",",7874015748031496062992125984251968503937"
"2023","Elecciones Generales","23/07/23","1","3","B","RC","1",",1968503937007874015748031496062992125984"
"2023","Elecciones Generales","23/07/23","1","3","B","SUMAR","87","17,12598425196850393700787401574803149606"
"2023","Elecciones Generales","23/07/23","1","4","U","Electores","819","100"
"2023","Elecciones Generales","23/07/23","1","4","U","Abstenciones","166","20,26862026862026862026862026862026862027"
"2023","Elecciones Generales","23/07/23","1","4","U","Votantes","653","79,73137973137973137973137973137973137973"
"2023","Elecciones Generales","23/07/23","1","4","U","Blancos","4",",612557427258805513016845329249617151608"
"2023","Elecciones Generales","23/07/23","1","4","U","Validos","650","99,54058192955589586523736600306278713629"
"2023","Elecciones Generales","23/07/23","1","4","U","Nulos","3",",459418070444104134762633996937212863706"
"2023","Elecciones Generales","23/07/23","1","4","U","PSOE","142","21,74578866768759571209800918836140888208"
"2023","Elecciones Generales","23/07/23","1","4","U","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","4","U","PP","313","47,93261868300153139356814701378254211332"
"2023","Elecciones Generales","23/07/23","1","4","U","PACMA","3",",459418070444104134762633996937212863706"
"2023","Elecciones Generales","23/07/23","1","4","U","PCTE","1",",153139356814701378254211332312404287902"
"2023","Elecciones Generales","23/07/23","1","4","U","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","4","U","VOX","101","15,4670750382848392036753445635528330781"
"2023","Elecciones Generales","23/07/23","1","4","U","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","4","U","AEEV","1",",153139356814701378254211332312404287902"
"2023","Elecciones Generales","23/07/23","1","4","U","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","4","U","SUMAR","85","13,01684532924961715160796324655436447167"
"2023","Elecciones Generales","23/07/23","1","5","A","Electores","438","100"
"2023","Elecciones Generales","23/07/23","1","5","A","Abstenciones","107","24,42922374429223744292237442922374429224"
"2023","Elecciones Generales","23/07/23","1","5","A","Votantes","331","75,57077625570776255707762557077625570776"
"2023","Elecciones Generales","23/07/23","1","5","A","Blancos","4","1,20845921450151057401812688821752265861"
"2023","Elecciones Generales","23/07/23","1","5","A","Validos","330","99,69788519637462235649546827794561933535"
"2023","Elecciones Generales","23/07/23","1","5","A","Nulos","1",",3021148036253776435045317220543806646526"
"2023","Elecciones Generales","23/07/23","1","5","A","PSOE","67","20,24169184290030211480362537764350453172"
"2023","Elecciones Generales","23/07/23","1","5","A","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","PP","164","49,54682779456193353474320241691842900302"
"2023","Elecciones Generales","23/07/23","1","5","A","PACMA","1",",3021148036253776435045317220543806646526"
"2023","Elecciones Generales","23/07/23","1","5","A","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","VOX","44","13,29305135951661631419939577039274924471"
"2023","Elecciones Generales","23/07/23","1","5","A","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","AEEV","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","RC","0","0"
"2023","Elecciones Generales","23/07/23","1","5","A","SUMAR","50","15,10574018126888217522658610271903323263"
"2023","Elecciones Generales","23/07/23","1","5","B","Electores","422","100"
"2023","Elecciones Generales","23/07/23","1","5","B","Abstenciones","95","22,51184834123222748815165876777251184834"
"2023","Elecciones Generales","23/07/23","1","5","B","Votantes","327","77,48815165876777251184834123222748815166"
"2023","Elecciones Generales","23/07/23","1","5","B","Blancos","3",",9174311926605504587155963302752293577982"
"2023","Elecciones Generales","23/07/23","1","5","B","Validos","326","99,6941896024464831804281345565749235474"
"2023","Elecciones Generales","23/07/23","1","5","B","Nulos","1",",3058103975535168195718654434250764525994"
"2023","Elecciones Generales","23/07/23","1","5","B","PSOE","82","25,07645259938837920489296636085626911315"
"2023","Elecciones Generales","23/07/23","1","5","B","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","5","B","PP","148","45,25993883792048929663608562691131498471"
"2023","Elecciones Generales","23/07/23","1","5","B","PACMA","0","0"
"2023","Elecciones Generales","23/07/23","1","5","B","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","5","B","PUM J","2",",6116207951070336391437308868501529051988"
"2023","Elecciones Generales","23/07/23","1","5","B","VOX","42","12,84403669724770642201834862385321100917"
"2023","Elecciones Generales","23/07/23","1","5","B","PUEDE","0","0"
"2023","Elecciones Generales","23/07/23","1","5","B","AEEV","0","0"
"2023","Elecciones Generales","23/07/23","1","5","B","RC","2",",6116207951070336391437308868501529051988"
"2023","Elecciones Generales","23/07/23","1","5","B","SUMAR","47","14,37308868501529051987767584097859327217"
"2023","Elecciones Generales","23/07/23","1","6","A","Electores","426","100"
"2023","Elecciones Generales","23/07/23","1","6","A","Abstenciones","82","19,24882629107981220657276995305164319249"
"2023","Elecciones Generales","23/07/23","1","6","A","Votantes","344","80,75117370892018779342723004694835680751"
"2023","Elecciones Generales","23/07/23","1","6","A","Blancos","5","1,45348837209302325581395348837209302326"
"2023","Elecciones Generales","23/07/23","1","6","A","Validos","342","99,4186046511627906976744186046511627907"
"2023","Elecciones Generales","23/07/23","1","6","A","Nulos","2",",5813953488372093023255813953488372093023"
"2023","Elecciones Generales","23/07/23","1","6","A","PSOE","74","21,51162790697674418604651162790697674419"
"2023","Elecciones Generales","23/07/23","1","6","A","FO","0","0"
"2023","Elecciones Generales","23/07/23","1","6","A","PP","163","47,38372093023255813953488372093023255814"
"2023","Elecciones Generales","23/07/23","1","6","A","PACMA","1",",2906976744186046511627906976744186046512"
"2023","Elecciones Generales","23/07/23","1","6","A","PCTE","0","0"
"2023","Elecciones Generales","23/07/23","1","6","A","PUM J","0","0"
"2023","Elecciones Generales","23/07/23","1","6","A","VOX","52","15,11627906976744186046511627906976744186"
"2023","Elecciones Generales","23/07/23","1","6","A","PUEDE","0","0"
